City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
351,Itupiranga,BR,-5.13,-49.33,72.77,91,100,1.28,overcast clouds,0.0,0
352,Xam Nua,LA,20.42,104.04,69.4,91,100,2.08,overcast clouds,0.0,0
353,Tecpan,GT,14.76,-90.99,64.4,88,40,11.41,scattered clouds,0.0,0
354,East Brainerd,US,35.0,-85.15,71.6,83,1,1.41,clear sky,0.0,0
355,North Bend,US,43.41,-124.22,55.4,93,1,5.82,clear sky,0.0,0
356,Iracoubo,GF,5.48,-53.2,76.78,87,8,6.85,light rain,0.45,0
357,Nanakuli,US,21.39,-158.15,80.01,65,20,5.82,few clouds,0.0,0
358,Lazaro Cardenas,MX,17.96,-102.2,77.52,86,87,5.7,overcast clouds,0.0,0
359,Tairua,NZ,-37.02,175.85,55.0,74,42,11.01,scattered clouds,0.0,0
360,Darhan,MN,49.49,105.92,74.77,57,62,6.8,broken clouds,0.0,0
361,Mishan,CN,45.55,131.88,77.74,70,14,1.41,few clouds,0.0,0
362,Tiarei,PF,-17.53,-149.33,77.0,65,75,5.82,broken clouds,0.0,0
363,Oktyabrskiy,RU,54.48,53.47,78.19,63,68,8.21,broken clouds,0.0,0
364,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,70.68,98,76,1.14,light rain,0.27,0
365,Laguna,US,38.42,-121.42,72.0,40,1,4.7,clear sky,0.0,0
366,Santa Fe,AR,-31.63,-60.7,48.0,88,0,5.23,clear sky,0.0,0
367,Guacimo,CR,10.21,-83.68,71.6,73,93,3.36,overcast clouds,0.0,0
368,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.77,82,42,13.09,light rain,0.22,0
369,Elat,IL,29.56,34.95,93.94,26,0,11.7,clear sky,0.0,0
370,Mollendo,PE,-17.02,-72.01,55.89,80,94,4.85,overcast clouds,0.0,0
371,Kiyasovo,RU,56.35,53.12,79.0,48,0,1.01,clear sky,0.0,0
372,Ushirombo,TZ,-3.49,31.96,84.52,33,1,7.2,clear sky,0.0,0
373,Cambridge,CA,43.36,-80.31,64.0,93,1,6.93,clear sky,0.0,0
374,Sambava,MG,-14.27,50.17,75.43,76,59,11.65,light rain,0.35,0
375,Broome,US,42.25,-75.83,66.99,93,90,9.17,overcast clouds,0.0,0
376,Nara,JP,34.69,135.8,80.6,54,75,9.17,broken clouds,0.0,0
377,Makakilo City,US,21.35,-158.09,80.6,65,20,5.82,few clouds,0.0,0
378,Teguldet,RU,57.31,88.17,76.39,46,86,6.55,overcast clouds,0.0,0
379,Agirish,RU,61.92,63.02,77.61,31,66,12.03,broken clouds,0.0,0
380,Sovetskaya,RU,44.78,41.17,85.01,47,0,8.97,clear sky,0.0,0
381,Tasiilaq,GL,65.61,-37.64,41.0,86,89,4.7,overcast clouds,0.0,0
382,Van,TR,38.49,43.38,73.4,56,20,8.05,few clouds,0.0,0
383,Nampa,US,43.54,-116.56,71.6,40,0,6.93,clear sky,0.0,0
